Year,Plot,AMDU,ASNU,BRRU,CORA,DG,ERCI,LATR,NONE,OTHER,SCAR
2020,RS,0.10869565217391304,1.4673913043478262,13.804347826086957,0.10869565217391304,5.923913043478261,3.532608695652174,0.6521739130434783,69.34782608695652,4.184782608695652,0.8695652173913043
2020,UN,1.3858695652173914,0.7880434782608695,11.820652173913043,1.3043478260869565,5.570652173913043,1.4673913043478262,1.2228260869565217,70.38043478260869,5.978260869565218,0.08152173913043478
2020,US,0.7608695652173914,0.5706521739130435,13.750000000000002,1.3043478260869565,4.646739130434783,0.7336956521739131,1.1684782608695652,71.98369565217392,4.728260869565217,0.3532608695652174
2021,BN,0.48913043478260876,0.0,4.4021739130434785,0.05434782608695652,12.608695652173912,0.9782608695652175,0.6521739130434783,78.04347826086956,2.7717391304347827,0.0
2021,BS,0.21739130434782608,0.05434782608695652,3.6956521739130435,0.21739130434782608,11.467391304347826,1.358695652173913,0.9782608695652175,78.85869565217392,3.097826086956522,0.05434782608695652
2021,RN,0.5434782608695652,0.0,3.6956521739130435,0.0,14.402173913043478,1.4673913043478262,0.10869565217391304,77.77173913043478,2.010869565217391,0.0
2021,RS,0.3804347826086957,0.0,3.641304347826087,0.0,10.597826086956522,1.358695652173913,0.9782608695652175,81.41304347826087,1.4673913043478262,0.16304347826086957
2021,UN,1.4130434782608696,0.02717391304347826,3.532608695652174,1.7119565217391304,12.255434782608695,0.3532608695652174,2.282608695652174,75.40760869565217,2.989130434782609,0.02717391304347826
2021,US,0.7505175983436853,0.0,3.907867494824017,1.6304347826086956,10.9472049689441,0.2587991718426501,2.2256728778467907,76.42339544513457,3.8561076604554865,0.0
2023,BN,0.1404494382022472,7.865168539325842,6.741573033707865,0.0,0.0,4.353932584269663,0.5617977528089888,68.67977528089888,3.932584269662921,7.724719101123595
2023,BS,0.0,2.653631284916201,4.4692737430167595,0.5586592178770949,0.0,3.7709497206703912,1.1173184357541899,72.48603351955308,4.329608938547486,10.614525139664805
2023,UN,0.5555555555555556,3.6111111111111107,6.111111111111111,1.3888888888888888,0.0,1.25,0.5555555555555556,75.27777777777777,6.111111111111111,5.138888888888888
2023,US,0.9776536312849162,0.6983240223463687,6.424581005586592,0.6983240223463687,0.0,1.8156424581005588,1.9553072625698324,75.5586592178771,5.307262569832402,6.564245810055866
2024,BN,0.0,2.361111111111111,4.583333333333333,0.1388888888888889,0.0,2.7777777777777777,0.1388888888888889,79.44444444444444,6.666666666666667,3.888888888888889
2024,BS,0.0,0.8333333333333334,5.138888888888888,0.0,0.0,2.5,1.1111111111111112,77.22222222222223,8.194444444444445,5.0
2024,UN,0.0,1.5277777777777777,6.388888888888888,1.3888888888888888,0.0,0.8333333333333334,0.5555555555555556,81.52777777777777,6.25,1.5277777777777777
2024,US,0.0,0.4166666666666667,4.166666666666666,0.2777777777777778,0.0,0.6944444444444444,0.5555555555555556,82.36111111111111,7.083333333333333,4.444444444444445
